City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-philippe,-21.3585,55.7679,22.84,86,6,2.21,RE,1713742359
83,nouadhibou,20.931,-17.0347,19.99,68,1,9.26,MR,1713742376
84,thompson,55.7435,-97.8558,6.09,22,0,2.06,CA,1713742326
85,badger,64.8,-147.5333,14.14,31,0,0.0,US,1713742377
86,horta,38.5333,-28.6333,13.9,79,100,4.47,PT,1713742377
87,namibe,-15.1961,12.1522,25.81,72,78,1.49,AO,1713742377
88,puerto ayora,-0.7393,-90.3518,25.86,96,33,0.89,EC,1713742378
89,vera,-29.4593,-60.2126,22.64,85,90,2.84,AR,1713742378
90,newport,51.5877,-2.9984,7.51,74,90,3.03,GB,1713742379
91,urucara,-2.5364,-57.76,22.93,99,100,0.6,BR,1713742379
92,kingscliff,-28.2667,153.5667,23.89,60,75,7.72,AU,1713742381
93,cannonvale,-20.2833,148.7,22.66,77,32,7.08,AU,1713742381
94,saldanha,-33.0117,17.9442,12.03,92,4,2.26,ZA,1713742381
95,myanaung,18.2833,95.3167,28.97,58,2,0.43,MM,1713742382
96,lapa,-25.7697,-49.7158,15.33,81,0,0.84,BR,1713742383
97,st. john's,47.5649,-52.7093,4.82,95,20,4.63,CA,1713742273
98,nishinoomote,30.7333,131.0,20.26,79,100,8.65,JP,1713742388
99,richards bay,-28.783,32.0377,21.03,95,31,2.25,ZA,1713742388
100,punta arenas,-53.15,-70.9167,7.06,76,0,10.8,CL,1713742389
101,constantia,44.1833,28.65,9.38,84,88,7.95,RO,1713742380
102,afaahiti,-17.75,-149.2833,24.93,76,39,2.47,PF,1713742389
103,jinka,5.65,36.65,16.97,95,100,1.18,ET,1713742389
104,saint-joseph,-21.3667,55.6167,22.28,86,5,0.93,RE,1713742391
105,qaqortoq,60.7167,-46.0333,-0.91,87,63,1.77,GL,1713742376
106,mossel bay,-34.1831,22.146,16.96,90,69,4.17,ZA,1713742391
107,darnah,32.767,22.6367,20.93,46,92,8.52,LY,1713742391
108,hermanus,-34.4187,19.2345,15.2,90,25,3.07,ZA,1713742391
109,marabba,12.35,32.1833,33.08,12,86,5.62,SD,1713742392
110,tazacorte,28.629,-17.9293,19.54,79,100,4.63,ES,1713742394
111,longyearbyen,78.2186,15.6401,1.91,69,75,6.17,SJ,1713742394
112,city of balikpapan,-1.242,116.8942,24.97,88,20,1.54,ID,1713742395
113,tsiombe,-25.3,45.4833,18.22,93,0,1.2,MG,1713742396
114,port elizabeth,-33.918,25.5701,20.17,98,100,0.45,ZA,1713742333
115,college,64.8569,-147.8028,14.18,35,20,0.0,US,1713742396
116,cidade velha,14.9167,-23.6167,22.26,68,20,5.66,CV,1713742398
117,lebu,-37.6167,-73.65,13.28,86,100,5.49,CL,1713742288
118,tolanaro,-25.0319,46.9987,19.97,87,6,1.44,MG,1713742399
119,camacupa,-12.0167,17.4833,17.19,72,74,1.44,AO,1713742399
120,hasaki,35.7333,140.8333,15.22,80,100,3.38,JP,1713742401
121,minas de marcona,-15.2119,-75.1103,16.82,82,12,6.18,PE,1713742402
122,misratah,32.3754,15.0925,18.01,82,96,7.16,LY,1713742402
123,chonchi,-42.6128,-73.8092,7.84,88,100,0.75,CL,1713742294
124,iskateley,67.6803,53.1512,-23.88,100,53,2.24,RU,1713742403
125,lompoc,34.6391,-120.4579,25.08,69,0,4.63,US,1713742403
126,tralee,52.2704,-9.7026,10.31,87,86,0.81,IE,1713742400
127,nolinsk,57.5596,49.9363,8.87,62,67,5.2,RU,1713742405
128,invercargill,-46.4,168.35,11.12,75,78,7.6,NZ,1713742406
129,lautoka,-17.6167,177.4667,31.92,58,75,3.6,FJ,1713742407
130,baijiantan,45.6333,85.1833,16.02,29,0,2.89,CN,1713742410
131,huatabampo,26.8333,-109.6333,30.03,22,100,4.47,MX,1713742412
132,grand falls-windsor,48.9332,-55.6649,6.39,71,22,1.52,CA,1713742241
133,wailua homesteads,22.0669,-159.378,27.24,74,40,7.2,US,1713742412
134,lundazi,-12.2929,33.1782,16.99,85,40,2.64,ZM,1713742414
135,gargalianoi,37.0667,21.6333,15.2,75,100,1.65,GR,1713742414
136,usinsk,65.9939,57.5281,-21.63,89,9,4.02,RU,1713742414
137,maltrata,18.8,-97.2667,18.88,87,47,4.07,MX,1713742415
138,an nuhud,12.7,28.4333,28.39,14,87,4.34,SD,1713742415
139,hawaiian paradise park,19.5933,-154.9731,25.73,84,75,4.63,US,1713742361
140,ushuaia,-54.8,-68.3,6.81,76,40,10.29,AR,1713742297
141,kozyatyn,49.7143,28.8339,4.5,86,100,7.54,UA,1713742416
142,ust-tsilma,65.441,52.1498,-12.44,93,75,3.13,RU,1713742417
143,taroudant,30.4703,-8.877,14.52,89,38,1.7,MA,1713742417
144,usogorsk,63.4106,48.6872,-3.52,96,94,2.02,RU,1713742419
145,sumberpucung,-8.1586,112.4829,23.64,94,89,0.44,ID,1713742420
146,talnakh,69.4865,88.3972,-19.33,97,97,1.82,RU,1713742387
147,coahuayana de hidalgo,18.7,-103.6583,27.42,60,0,2.53,MX,1713742420
148,kingston,17.997,-76.7936,28.53,79,20,8.23,JM,1713741884
